theta1,theta2,theta3,theta4,theta5,theta6,x,y,z,total_rotation
9.59,34.6,30.0,0.0,-64.6,0.0,13.5,2.3,1.6,138.8
9.8,34.6,30.0,0.0,-64.6,0.0,13.49,2.3,1.6,139.0
8.195,33.4,32.2,0.0,-65.6,0.0,13.66,2.0,1.6,139.4
8.4,33.4,32.2,0.0,-65.6,0.0,13.65,2.0,1.6,139.6
8.6,33.4,32.2,0.0,-65.6,0.0,13.65,2.1,1.6,139.8
8.8,33.4,32.2,0.0,-65.6,0.0,13.64,2.1,1.6,140.0
9.0,33.4,32.2,0.0,-65.6,0.0,13.63,2.2,1.6,140.2
9.4,33.4,32.2,0.0,-65.6,0.0,13.61,2.2,1.6,140.6
9.59,33.4,32.2,0.0,-65.6,0.0,13.61,2.3,1.6,140.8
9.8,33.4,32.2,0.0,-65.6,0.0,13.6,2.3,1.6,141.0
8.0,30.8,37.0,0.0,-67.8,0.0,13.88,1.9,1.6,143.6
8.195,30.6,37.4,0.0,-68.0,0.0,13.89,2.0,1.6,144.2
8.195,30.8,37.0,0.0,-67.8,0.0,13.88,2.0,1.6,143.8
8.4,30.8,37.0,0.0,-67.8,0.0,13.87,2.0,1.6,144.0
8.6,30.6,37.4,0.0,-68.0,0.0,13.88,2.1,1.6,144.6
8.6,30.8,37.0,0.0,-67.8,0.0,13.86,2.1,1.6,144.2
8.8,30.6,37.4,0.0,-68.0,0.0,13.87,2.1,1.6,144.8
9.0,30.6,37.4,0.0,-68.0,0.0,13.86,2.2,1.6,145.0
9.0,30.8,37.0,0.0,-67.8,0.0,13.85,2.2,1.6,144.6
9.195,30.8,37.0,0.0,-67.8,0.0,13.84,2.2,1.6,144.8
9.4,30.6,37.4,0.0,-68.0,0.0,13.84,2.3,1.6,145.4
9.4,30.8,37.0,0.0,-67.8,0.0,13.83,2.3,1.6,145.0
9.59,30.8,37.0,0.0,-67.8,0.0,13.82,2.3,1.6,145.2
9.8,30.6,37.4,0.0,-68.0,0.0,13.83,2.4,1.6,145.8
9.8,30.8,37.0,0.0,-67.8,0.0,13.82,2.4,1.6,145.5
8.0,18.6,60.38,0.0,-79.0,0.0,14.56,2.0,1.6,166.0
8.195,18.6,60.38,0.0,-79.0,0.0,14.56,2.1,1.6,166.1
8.4,18.6,60.38,0.0,-79.0,0.0,14.55,2.1,1.6,166.4
8.6,18.6,60.38,0.0,-79.0,0.0,14.54,2.2,1.6,166.5
8.8,18.6,60.38,0.0,-79.0,0.0,14.53,2.2,1.6,166.8
9.0,18.6,60.38,0.0,-79.0,0.0,14.53,2.3,1.6,167.0
9.195,18.6,60.38,0.0,-79.0,0.0,14.52,2.3,1.6,167.1
9.4,18.6,60.38,0.0,-79.0,0.0,14.51,2.4,1.6,167.4
9.59,18.6,60.38,0.0,-79.0,0.0,14.5,2.4,1.6,167.5
9.8,18.6,60.38,0.0,-79.0,0.0,14.49,2.5,1.6,167.8
8.0,0.8,96.2,0.0,-97.0,0.0,14.48,2.0,1.6,202.0
8.195,0.8,96.2,0.0,-97.0,0.0,14.47,2.1,1.6,202.2
8.6,0.8,96.2,0.0,-97.0,0.0,14.46,2.2,1.6,202.5
8.8,0.8,96.2,0.0,-97.0,0.0,14.45,2.2,1.6,202.8
9.0,0.8,96.2,0.0,-97.0,0.0,14.44,2.3,1.6,203.0
9.4,0.8,96.2,0.0,-97.0,0.0,14.42,2.4,1.6,203.4
9.8,0.8,96.2,0.0,-97.0,0.0,14.41,2.5,1.6,203.8
10.0,34.6,30.0,0.0,-64.6,0.0,13.49,2.4,1.6,139.2
10.195,34.6,30.0,0.0,-64.6,0.0,13.48,2.4,1.6,139.4
10.4,34.6,30.0,0.0,-64.6,0.0,13.47,2.5,1.6,139.6
10.59,34.6,30.0,0.0,-64.6,0.0,13.46,2.5,1.6,139.8
10.8,34.6,30.0,0.0,-64.6,0.0,13.45,2.6,1.6,140.0
11.0,34.6,30.0,0.0,-64.6,0.0,13.44,2.6,1.6,140.2
11.195,34.6,30.0,0.0,-64.6,0.0,13.43,2.7,1.6,140.4
11.59,34.6,30.0,0.0,-64.6,0.0,13.41,2.7,1.6,140.8
11.8,34.6,30.0,0.0,-64.6,0.0,13.41,2.8,1.6,141.0
10.0,33.4,32.2,0.0,-65.6,0.0,13.59,2.4,1.6,141.2
10.4,33.4,32.2,0.0,-65.6,0.0,13.57,2.5,1.6,141.6
10.8,33.4,32.2,0.0,-65.6,0.0,13.56,2.6,1.6,142.0
11.0,33.4,32.2,0.0,-65.6,0.0,13.55,2.6,1.6,142.2
11.195,33.4,32.2,0.0,-65.6,0.0,13.54,2.7,1.6,142.4
11.4,33.4,32.2,0.0,-65.6,0.0,13.53,2.7,1.6,142.6
11.59,33.4,32.2,0.0,-65.6,0.0,13.52,2.8,1.6,142.8
11.8,33.4,32.2,0.0,-65.6,0.0,13.51,2.8,1.6,143.0
10.0,30.8,37.0,0.0,-67.8,0.0,13.81,2.4,1.6,145.6
10.195,30.6,37.4,0.0,-68.0,0.0,13.81,2.5,1.6,146.2
10.195,30.8,37.0,0.0,-67.8,0.0,13.8,2.5,1.6,145.8
10.4,30.8,37.0,0.0,-67.8,0.0,13.79,2.5,1.6,146.0
10.59,30.6,37.4,0.0,-68.0,0.0,13.79,2.6,1.6,146.6
10.59,30.8,37.0,0.0,-67.8,0.0,13.78,2.6,1.6,146.2
10.8,30.8,37.0,0.0,-67.8,0.0,13.77,2.6,1.6,146.5
11.0,30.6,37.4,0.0,-68.0,0.0,13.77,2.7,1.6,147.0
11.0,30.8,37.0,0.0,-67.8,0.0,13.76,2.7,1.6,146.6
11.195,30.8,37.0,0.0,-67.8,0.0,13.75,2.7,1.6,146.8
11.4,30.6,37.4,0.0,-68.0,0.0,13.76,2.8,1.6,147.4
11.4,30.8,37.0,0.0,-67.8,0.0,13.75,2.8,1.6,147.0
11.59,30.8,37.0,0.0,-67.8,0.0,13.73,2.8,1.6,147.2
11.8,30.6,37.4,0.0,-68.0,0.0,13.74,2.9,1.6,147.8
11.8,30.8,37.0,0.0,-67.8,0.0,13.73,2.9,1.6,147.5
10.0,18.6,60.38,0.0,-79.0,0.0,14.48,2.5,1.6,168.0
10.195,18.6,60.38,0.0,-79.0,0.0,14.48,2.6,1.6,168.1
10.4,18.6,60.38,0.0,-79.0,0.0,14.46,2.6,1.6,168.4
10.59,18.6,60.38,0.0,-79.0,0.0,14.46,2.7,1.6,168.5
10.8,18.6,60.38,0.0,-79.0,0.0,14.45,2.7,1.6,168.8
11.0,18.6,60.38,0.0,-79.0,0.0,14.43,2.8,1.6,169.0
11.4,18.6,60.38,0.0,-79.0,0.0,14.42,2.9,1.6,169.4
11.59,18.6,60.38,0.0,-79.0,0.0,14.41,2.9,1.6,169.5
11.8,18.6,60.38,0.0,-79.0,0.0,14.4,3.0,1.6,169.8
10.0,0.8,96.2,0.0,-97.0,0.0,14.4,2.5,1.6,204.0
10.195,0.8,96.2,0.0,-97.0,0.0,14.39,2.6,1.6,204.2
10.4,0.8,96.2,0.0,-97.0,0.0,14.38,2.6,1.6,204.4
10.59,0.8,96.2,0.0,-97.0,0.0,14.37,2.7,1.6,204.5
11.0,0.8,96.2,0.0,-97.0,0.0,14.35,2.8,1.6,205.0
11.195,0.8,96.2,0.0,-97.0,0.0,14.34,2.8,1.6,205.2
11.4,0.8,96.2,0.0,-97.0,0.0,14.34,2.9,1.6,205.4
11.59,0.8,96.2,0.0,-97.0,0.0,14.32,2.9,1.6,205.5
11.8,0.8,96.2,0.0,-97.0,0.0,14.32,3.0,1.6,205.8
12.0,34.6,30.0,0.0,-64.6,0.0,13.39,2.8,1.6,141.2
12.195,34.6,30.0,0.0,-64.6,0.0,13.39,2.9,1.6,141.4
12.4,34.6,30.0,0.0,-64.6,0.0,13.37,2.9,1.6,141.6
12.59,34.6,30.0,0.0,-64.6,0.0,13.37,3.0,1.6,141.8
12.8,34.6,30.0,0.0,-64.6,0.0,13.35,3.0,1.6,142.0
13.0,34.6,30.0,0.0,-64.6,0.0,13.34,3.1,1.6,142.2
13.195,34.6,30.0,0.0,-64.6,0.0,13.33,3.1,1.6,142.4
13.4,34.6,30.0,0.0,-64.6,0.0,13.32,3.2,1.6,142.6
13.59,34.6,30.0,0.0,-64.6,0.0,13.31,3.2,1.6,142.8
13.8,34.6,30.0,0.0,-64.6,0.0,13.3,3.3,1.6,143.0
12.0,33.4,32.2,0.0,-65.6,0.0,13.5,2.9,1.6,143.2
12.195,33.4,32.2,0.0,-65.6,0.0,13.49,2.9,1.6,143.4
12.4,33.4,32.2,0.0,-65.6,0.0,13.48,3.0,1.6,143.6
12.59,33.4,32.2,0.0,-65.6,0.0,13.47,3.0,1.6,143.8
12.8,33.4,32.2,0.0,-65.6,0.0,13.46,3.1,1.6,144.0
13.0,33.4,32.2,0.0,-65.6,0.0,13.44,3.1,1.6,144.2
13.4,33.4,32.2,0.0,-65.6,0.0,13.42,3.2,1.6,144.6
13.8,33.4,32.2,0.0,-65.6,0.0,13.4,3.3,1.6,145.0
12.0,30.8,37.0,0.0,-67.8,0.0,13.71,2.9,1.6,147.6
12.195,30.6,37.4,0.0,-68.0,0.0,13.72,3.0,1.6,148.2
12.195,30.8,37.0,0.0,-67.8,0.0,13.71,3.0,1.6,147.8
12.4,30.8,37.0,0.0,-67.8,0.0,13.69,3.0,1.6,148.0
12.59,30.6,37.4,0.0,-68.0,0.0,13.7,3.1,1.6,148.6
12.59,30.8,37.0,0.0,-67.8,0.0,13.69,3.1,1.6,148.2
12.8,30.6,37.4,0.0,-68.0,0.0,13.68,3.1,1.6,148.8
12.8,30.8,37.0,0.0,-67.8,0.0,13.67,3.1,1.6,148.5
13.0,30.8,37.0,0.0,-67.8,0.0,13.66,3.1,1.6,148.6
13.195,30.6,37.4,0.0,-68.0,0.0,13.66,3.2,1.6,149.2
13.195,30.8,37.0,0.0,-67.8,0.0,13.65,3.2,1.6,148.8
13.4,30.8,37.0,0.0,-67.8,0.0,13.64,3.2,1.6,149.0
13.59,30.6,37.4,0.0,-68.0,0.0,13.64,3.3,1.6,149.6
13.59,30.8,37.0,0.0,-67.8,0.0,13.63,3.3,1.6,149.2
13.8,30.8,37.0,0.0,-67.8,0.0,13.62,3.3,1.6,149.5
12.0,18.6,60.38,0.0,-79.0,0.0,14.38,3.1,1.6,170.0
12.4,18.6,60.38,0.0,-79.0,0.0,14.36,3.2,1.6,170.4
12.8,18.6,60.38,0.0,-79.0,0.0,14.34,3.3,1.6,170.8
13.0,18.6,60.38,0.0,-79.0,0.0,14.33,3.3,1.6,171.0
13.195,18.6,60.38,0.0,-79.0,0.0,14.32,3.3,1.6,171.1
13.4,18.6,60.38,0.0,-79.0,0.0,14.3,3.4,1.6,171.4
13.59,18.6,60.38,0.0,-79.0,0.0,14.3,3.5,1.6,171.5
13.8,18.6,60.38,0.0,-79.0,0.0,14.28,3.5,1.6,171.8
12.0,0.8,96.2,0.0,-97.0,0.0,14.3,3.0,1.6,206.0
12.195,0.8,96.2,0.0,-97.0,0.0,14.3,3.1,1.6,206.2
12.4,0.8,96.2,0.0,-97.0,0.0,14.28,3.1,1.6,206.4
12.59,0.8,96.2,0.0,-97.0,0.0,14.27,3.2,1.6,206.5
12.8,0.8,96.2,0.0,-97.0,0.0,14.26,3.2,1.6,206.8
13.0,0.8,96.2,0.0,-97.0,0.0,14.24,3.3,1.6,207.0
13.4,0.8,96.2,0.0,-97.0,0.0,14.22,3.4,1.6,207.4
13.8,0.8,96.2,0.0,-97.0,0.0,14.2,3.5,1.6,207.8
14.0,34.6,30.0,0.0,-64.6,0.0,13.29,3.3,1.6,143.2
14.195,34.6,30.0,0.0,-64.6,0.0,13.27,3.4,1.6,143.4
14.59,34.6,30.0,0.0,-64.6,0.0,13.25,3.4,1.6,143.8
14.8,34.6,30.0,0.0,-64.6,0.0,13.24,3.5,1.6,144.0
15.0,34.6,30.0,0.0,-64.6,0.0,13.23,3.5,1.6,144.2
15.195,34.6,30.0,0.0,-64.6,0.0,13.21,3.6,1.6,144.4
15.4,34.6,30.0,0.0,-64.6,0.0,13.2,3.6,1.6,144.6
15.59,34.6,30.0,0.0,-64.6,0.0,13.19,3.7,1.6,144.8
15.8,34.6,30.0,0.0,-64.6,0.0,13.18,3.7,1.6,145.0
14.0,33.4,32.2,0.0,-65.6,0.0,13.39,3.3,1.6,145.2
14.195,33.4,32.2,0.0,-65.6,0.0,13.38,3.4,1.6,145.4
14.4,33.4,32.2,0.0,-65.6,0.0,13.37,3.4,1.6,145.6
14.59,33.4,32.2,0.0,-65.6,0.0,13.36,3.5,1.6,145.8
14.8,33.4,32.2,0.0,-65.6,0.0,13.34,3.5,1.6,146.0
15.0,33.4,32.2,0.0,-65.6,0.0,13.33,3.6,1.6,146.2
15.195,33.4,32.2,0.0,-65.6,0.0,13.32,3.6,1.6,146.4
15.4,33.4,32.2,0.0,-65.6,0.0,13.3,3.7,1.6,146.6
15.8,33.4,32.2,0.0,-65.6,0.0,13.28,3.7,1.6,147.0
14.0,30.6,37.4,0.0,-68.0,0.0,13.62,3.4,1.6,150.0
14.0,30.8,37.0,0.0,-67.8,0.0,13.6,3.4,1.6,149.6
14.195,30.8,37.0,0.0,-67.8,0.0,13.59,3.4,1.6,149.8
14.4,30.6,37.4,0.0,-68.0,0.0,13.6,3.5,1.6,150.4
14.4,30.8,37.0,0.0,-67.8,0.0,13.58,3.5,1.6,150.0
14.59,30.8,37.0,0.0,-67.8,0.0,13.57,3.5,1.6,150.2
